Biomass species,Moisture content (%),Ash content(%),(volatile matter)%,Fixed carbon content(%),Carbon (%),Hydrogen (%),Oxygen (%),Nitrogen(%),particle size (mm),Final temperature (°C),Heating rate (°C/min),Flow rate (ml/min),Solid phase (%),Liquid phase (%),Gas phase (%)
Walnut shell,7.5,1.65,71.52,19.33,46.65,5.8,47.54,1.65,0.85,300,15,200,41.98,34.42,22.42
Walnut shell,7.5,1.65,71.52,19.33,46.65,5.8,47.54,1.65,0.85,400,15,200,36.05,37.85,25.73
Walnut shell,7.5,1.65,71.52,19.33,46.65,5.8,47.54,1.65,0.85,500,15,200,31.68,41.88,26.28
Walnut shell,7.5,1.65,71.52,19.33,46.65,5.8,47.54,1.65,0.85,600,15,200,30.55,40.03,30.19
Walnut shell,7.5,1.65,71.52,19.33,46.65,5.8,47.54,1.65,0.33,500,15,200,28.84,42.59,26.45
Walnut shell,7.5,1.65,71.52,19.33,46.65,5.8,47.54,1.65,0.51,500,15,200,30.4,43.78,26.1
Walnut shell,7.5,1.65,71.52,19.33,46.65,5.8,47.54,1.65,0.65,500,15,200,30.88,44.38,24.66
Walnut shell,7.5,1.65,71.52,19.33,46.65,5.8,47.54,1.65,0.85,500,15,200,31.35,45.82,23.23
MCA oil cake,6.5,6.5,74.9,18.9,47.28,6.52,43.33,2.55,1,350,20,8000,43.75,41.41,13.8
MCA oil cake,6.5,6.5,74.9,18.9,47.28,6.52,43.33,2.55,1,400,20,8000,39.37,43.85,15.68
MCA oil cake,6.5,6.5,74.9,18.9,47.28,6.52,43.33,2.55,1,450,20,8000,36.04,46.04,16.51
MCA oil cake,6.5,6.5,74.9,18.9,47.28,6.52,43.33,2.55,1,500,20,8000,35.05,43.02,20.21
MCA oil cake,6.5,6.5,74.9,18.9,47.28,6.52,43.33,2.55,1,550,20,8000,33.54,39.74,25.47
MCA oil cake,6.5,6.5,74.9,18.9,47.28,6.52,43.33,2.55,1,600,20,8000,32.81,35.42,31.77
MCA oil cake,6.5,6.5,74.9,18.9,47.28,6.52,43.33,2.55,0.33,450,20,8000,33.25,44.42,21.83
MCA oil cake,6.5,6.5,74.9,18.9,47.28,6.52,43.33,2.55,0.65,450,20,8000,33.82,46.32,19.35
MCA oil cake,6.5,6.5,74.9,18.9,47.28,6.52,43.33,2.55,1,450,20,8000,36.93,47.97,16.63
MCA oil cake,6.5,6.5,74.9,18.9,47.28,6.52,43.33,2.55,1.5,450,20,8000,36.23,47.33,17.45
MCA oil cake,6.5,6.5,74.9,18.9,47.28,6.52,43.33,2.55,2,450,20,8000,37.06,41.63,19.29
Eucalyptus wood,5.18,4.8,70.85,19.18,51.17,7.95,35.11,5.32,0.85,300,35,25,26.3,42.12,27.95
Eucalyptus wood,5.18,4.8,70.85,19.18,51.17,7.95,35.11,5.32,0.85,350,35,25,26.3,45.41,25.07
Eucalyptus wood,5.18,4.8,70.85,19.18,51.17,7.95,35.11,5.32,0.85,400,35,25,25.68,44.59,21.99
Eucalyptus wood,5.18,4.8,70.85,19.18,51.17,7.95,35.11,5.32,0.85,450,35,25,25.48,49.11,17.67
Eucalyptus wood,5.18,4.8,70.85,19.18,51.17,7.95,35.11,5.32,0.85,500,35,25,24.86,44.18,24.86
Eucalyptus wood,5.18,4.8,70.85,19.18,51.17,7.95,35.11,5.32,0.85,600,35,25,24.04,42.12,28.97
Eucalyptus wood,5.18,4.8,70.85,19.18,51.17,7.95,35.11,5.32,0.85,700,35,25,24.25,39.86,30.62
Eucalyptus wood,5.18,4.8,70.85,19.18,51.17,7.95,35.11,5.32,0.85,800,35,25,22.6,37.19,35.14
Eucalyptus wood,5.18,4.8,70.85,19.18,51.17,7.95,35.11,5.32,0.85,450,35,50,26.15,32.1,35.16
Eucalyptus wood,5.18,4.8,70.85,19.18,51.17,7.95,35.11,5.32,0.85,450,35,100,25.1,37.89,31.76
Eucalyptus wood,5.18,4.8,70.85,19.18,51.17,7.95,35.11,5.32,0.85,450,35,150,24.94,39,30.89
Eucalyptus wood,5.18,4.8,70.85,19.18,51.17,7.95,35.11,5.32,0.85,450,35,200,24.79,44.43,26.41
Eucalyptus wood,5.18,4.8,70.85,19.18,51.17,7.95,35.11,5.32,0.85,450,35,250,25.17,32.92,31.84
Eucalyptus wood,5.18,4.8,70.85,19.18,51.17,7.95,35.11,5.32,0.85,450,35,300,25.38,36.73,27.36
corn,7.67,8.33,71.95,12.05,49.1,6.1,43.7,0.7,0.3,420,10,30.2,11.9,59.9,10
corn,7.67,8.33,71.95,12.05,49.1,6.1,43.7,0.7,0.3,460,10,30.2,14,64.2,14.9
corn,7.67,8.33,71.95,12.05,49.1,6.1,43.7,0.7,0.3,500,10,30.2,18.2,66,15.9
corn,7.67,8.33,71.95,12.05,49.1,6.1,43.7,0.7,0.3,540,10,30.2,20.8,64.9,21.1
corn,7.67,8.33,71.95,12.05,49.1,6.1,43.7,0.7,0.3,580,10,30.2,30.1,64.1,24
Karanja seed,7.27,1.5,89.23,2,53.04,7.32,35.53,3.94,0.5,500,20,40,25.76,50.23,24.8
Karanja seed,7.27,1.5,89.23,2,53.04,7.32,35.53,3.94,0.5,525,20,40,22.19,53.15,25.06
Karanja seed,7.27,1.5,89.23,2,53.04,7.32,35.53,3.94,0.5,550,20,40,20.21,55.32,25.64
Karanja seed,7.27,1.5,89.23,2,53.04,7.32,35.53,3.94,0.5,575,20,40,18.77,51.85,29.51
Karanja seed,7.27,1.5,89.23,2,53.04,7.32,35.53,3.94,0.5,600,20,40,19.03,50.51,31.26
